"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"FPS","WEU","Capacity","Electricity generation","Oil","Power","GW",25.29023612,24.76968241,24.16897175,23.46787192,22.60814105,21.58037895,20.35705182,18.88807495,17.16879372,15.23464885,13.17338928,11.10209234,9.107115245,7.272667993,5.670233123,4.330628265,3.250646904,2.404531596,1.758019201,1.273322142,0,0,0,0,0,0,0,0,0,0,0
"FPS","WORLD","Capacity","Electricity generation","Oil","Power","GW",372.7195326,378.3015641,382.5642297,384.6116242,383.4701532,379.6050497,373.0811058,366.0024995,358.4897169,350.1850284,338.7474013,325.1744393,309.5337973,292.2544058,273.9405769,255.2052613,236.1579547,217.6133113,199.8100945,182.8348763,165.3991896,150.2741729,135.8991721,122.2749124,109.4326095,83.47774546,75.11060643,67.00309343,59.28458356,52.06033889,45.40881183
"FPS","AUS","Capacity","Electricity generation","Natural gas","Power","GW",18.58450171,18.53375819,18.46006368,18.36757519,18.24494966,18.08904327,17.89373692,17.66097173,17.37925151,17.0341095,16.6058933,16.07849233,15.43454702,14.65539591,13.7449875,12.72150657,11.58409385,10.39463389,9.19426171,8.01982025,6.90411128,5.871916185,4.939088444,4.113631943,3.39688453,2.783794812,2.266332206,1.834259591,1.47790798,1.186512738,0
"FPS","BRA","Capacity","Electricity generation","Natural gas","Power","GW",14.4141695,14.6476057,14.85382609,15.02673467,15.15166981,15.21858188,15.15240317,15.02224913,14.81640367,14.56119367,14.20682931,13.6793846,13.05593529,12.33686861,11.53087871,10.65152554,9.694896141,8.70739079,7.716569818,6.749592643,5.831699657,4.976493777,4.202800084,3.516040945,2.917028453,2.402309875,1.964036627,1.596664947,1.291956754,1.041104715,0
"FPS","CAN","Capacity","Electricity generation","Natural gas","Power","GW",13.48377653,13.38493674,13.16748558,12.78181442,12.16165972,11.25046845,10.04005324,8.565413487,6.946651443,5.359653003,3.95515558,2.817697486,1.953259933,1.32665666,0.88820032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","CHN","Capacity","Electricity generation","Natural gas","Power","GW",50.86105271,52.77674876,54.64947336,56.4140884,58.05944048,59.49685114,59.82460279,59.84423503,59.49202216,58.70112162,57.42648031,55.14146934,52.39758869,49.20587895,45.60435021,41.68813237,37.42281471,33.11678489,28.90141631,24.88633168,21.17274168,17.77367383,14.77217825,12.17169292,9.955407542,8.084779032,6.513961442,5.224849709,4.176152387,3.328934317,0
"FPS","CSA","Capacity","Electricity generation","Natural gas","Power","GW",90.81943933,93.16879231,95.41474218,97.38493093,99.12227086,100.6349567,101.778935,102.5786999,102.9186549,102.7500969,101.8619802,99.82386102,96.9144712,93.07238481,88.31205477,82.72414644,76.32551294,69.40194947,62.18624876,54.92683168,47.86815211,41.16614794,34.99985584,29.45477077,24.56414634,20.32325326,16.6889306,13.6222429,11.06245445,8.944954829,0
"FPS","EEU","Capacity","Electricity generation","Natural gas","Power","GW",18.79315881,18.73029689,18.63909152,18.50974314,18.30848428,18.04407998,17.68203562,17.22233996,16.64237947,15.92422639,15.0702858,14.05940432,12.90560935,11.62242217,10.25006764,8.848936742,7.455706681,6.164087521,5.011091711,4.012847297,3.172464688,2.479913629,1.921103499,1.477030581,1.128671423,0,0,0,0,0,0
"FPS","EURA","Capacity","Electricity generation","Natural gas","Power","GW",44.87200601,46.34328226,47.80966113,49.26419565,50.58459548,51.86182753,52.70288275,53.41633393,53.98045093,54.36357447,54.57428589,54.2668332,53.7495183,52.98992539,51.98877552,50.72767808,49.05315212,47.13565179,44.98165501,42.61094726,40.05717788,37.25751779,34.38900817,31.50659482,28.63982624,25.85678581,23.15159762,20.59808458,18.20642341,15.99072765,13.96633402
"FPS","GCC","Capacity","Electricity generation","Natural gas","Power","GW",120.9825711,121.7314776,122.3849873,122.8289835,122.6498149,122.2885198,121.5549984,120.5792678,119.3688367,118.2411825,116.8174698,114.913229,112.7449855,110.2638463,107.4563484,104.303851,100.5739058,96.4983044,92.07089862,87.30627187,82.25253658,76.81500155,71.19903391,65.4800405,59.74302752,54.08452124,48.5198431,43.195973,38.17788166,33.51144644,29.23130907
